COND_ID	DRUG_ID	BETA_HAT	SE_BETA_HAT
500000101	600000001	0.9503685	0.1225964
500000101	600000003	0.1563522	0.1197648
500000101	600000004	0.5302764	0.3704523
500000101	600000005	0.1536139	0.1194234
500000101	600000006	0.4803704	0.1483619
500000101	600000007	0.1394104	0.3493239
500000101	600000008	0.522381	0.1669386
500000101	600000009	0.8544172	0.3599706
500000101	600000010	0.1987081	0.3657445
500000102	600000001	1.062566	0.1624905
500000102	600000003	0.1811485	0.1564071
500000102	600000004	0.7986218	0.5151872
500000102	600000005	0.2328181	0.1613153
500000102	600000006	0.4971541	0.2073255
500000102	600000007	0.3251676	0.4590766
500000102	600000008	0.4429843	0.2122079
500000102	600000009	0.6729946	0.4307186
500000102	600000010	0.04665475	0.4487114
500000201	600000001	-0.0915721	0.1317420
500000201	600000002	0.09122155	0.50544
500000201	600000003	0.2157598	0.09154556
500000201	600000004	0.5230602	0.2633601
500000201	600000005	0.2722073	0.091697
500000201	600000006	0.3578034	0.1238386
500000201	600000007	-0.4137038	0.2830199
500000201	600000008	0.05811446	0.1836101
500000201	600000009	0.1160974	0.1271790
500000201	600000010	0.4991941	0.1759787
500000202	600000001	0.536551	0.3910933
500000202	600000002	0.6083957	0.6921691
500000202	600000003	0.6266278	0.2157353
500000202	600000004	-0.4260112	1.065766
500000202	600000005	0.3385085	0.2480452
500000202	600000006	0.4780772	0.3636094
500000202	600000007	-3.700621	1.791222
500000202	600000008	0.2202652	0.5475625
500000202	600000009	1.084797	0.2607158
500000202	600000010	-0.1952515	0.6136918
500000203	600000001	0.536551	0.3910933
500000203	600000002	0.6083957	0.6921691
500000203	600000003	0.6266278	0.2157353
500000203	600000004	-0.4260112	1.065766
500000203	600000005	0.3385085	0.2480452
500000203	600000006	0.4780772	0.3636094
500000203	600000007	-3.700621	1.791222
500000203	600000008	0.2202652	0.5475625
500000203	600000009	1.084797	0.2607158
500000203	600000010	-0.1952515	0.6136918
500000204	600000001	0.348333	0.4778392
500000204	600000003	0.8613281	0.3365951
500000204	600000004	1.099225	0.9998592
500000204	600000005	0.6849294	0.3513816
500000204	600000006	0.5509792	0.3734036
500000204	600000007	-0.2113569	0.7617004
500000204	600000008	-0.1759296	0.8434237
500000204	600000009	-0.2579277	0.4730338
500000204	600000010	0.9807802	0.6140795
500000205	600000001	0.4391348	0.3053215
500000205	600000002	0.6095166	0.6969333
500000205	600000003	0.6590057	0.1846031
500000205	600000004	0.2811514	0.6457035
500000205	600000005	0.4582196	0.2011542
500000205	600000006	0.4371301	0.2653226
500000205	600000007	-1.071201	0.6049736
500000205	600000008	0.1673271	0.4606703
500000205	600000009	0.7868633	0.2290832
500000205	600000010	0.4076802	0.4277898
